fund,date,gross_return,net_return
Equity Equal Weight,2023-01-03,0.0022509057491670536,0.002250905749167087
Equity Equal Weight,2023-01-04,0.018428178719494943,0.01842817871949487
Equity Equal Weight,2023-01-05,-0.00679763801193668,-0.006797638011936669
Equity Equal Weight,2023-01-06,0.023249459158050576,0.023249459158050545
Equity Equal Weight,2023-01-09,0.00017208903132034817,0.00017208903132037712
Equity Equal Weight,2023-01-10,0.007616604974202161,0.007616604974202135
Equity Equal Weight,2023-01-11,0.00985384963869968,0.00985384963869973
Equity Equal Weight,2023-01-12,0.007037757028810942,0.0070377570288109315
Equity Equal Weight,2023-01-13,0.003431146425461702,0.0034311464254617174
Equity Equal Weight,2023-01-17,-0.004052224805721268,-0.004052224805721316
Equity Equal Weight,2023-01-18,-0.015965505018307232,-0.01596550501830718
Equity Equal Weight,2023-01-19,-0.007476202030265404,-0.007476202030265444
Equity Equal Weight,2023-01-20,0.01531290783669132,0.01531290783669137
Equity Equal Weight,2023-01-23,0.011435710954858267,0.01143571095485818
Equity Equal Weight,2023-01-24,-0.0028834216294746054,-0.002883421629474636
Equity Equal Weight,2023-01-25,0.0018486905394841722,0.0018486905394841102
Equity Equal Weight,2023-01-26,0.008422064284225662,0.00842206428422565
Equity Equal Weight,2023-01-27,-0.0012064818542402754,-0.0012064818542403266
Equity Equal Weight,2023-01-30,-0.01014423915496513,-0.010144239154965096
Equity Equal Weight,2023-01-31,0.011922802217140906,0.011922802217140926
Equity Equal Weight,2023-02-01,0.006518284067217187,0.006518284067217106
Equity Equal Weight,2023-02-02,0.00015704536703527584,0.00015704536703520233
Equity Equal Weight,2023-02-03,-0.012768350780830776,-0.012768350780830828
Equity Equal Weight,2023-02-06,-0.004594982931553284,-0.004594982931553249
Equity Equal Weight,2023-02-07,0.010953461048114671,0.010953461048114566
Equity Equal Weight,2023-02-08,-0.009564990182089908,-0.009564990182089894
Equity Equal Weight,2023-02-09,-0.00969477310696571,-0.00969477310696576
Equity Equal Weight,2023-02-10,0.00760192629547806,0.0076019262954780675
Equity Equal Weight,2023-02-13,0.00875099441629904,0.008750994416299118
Equity Equal Weight,2023-02-14,-0.000643929332159083,-0.0006439293321590656
Equity Equal Weight,2023-02-15,0.0002892134172157811,0.00028921341721588334
Equity Equal Weight,2023-02-16,-0.01393944574150931,-0.013939445741509293
Equity Equal Weight,2023-02-17,-0.0027721399648127053,-0.0027721399648127365
Equity Equal Weight,2023-02-21,-0.017502776074307804,-0.017502776074307835
Equity Equal Weight,2023-02-22,-0.005551258644505817,-0.005551258644505785
Equity Equal Weight,2023-02-23,0.0054789650955139645,0.005478965095514043
Equity Equal Weight,2023-02-24,-0.00947722361510689,-0.009477223615106944
Equity Equal Weight,2023-02-27,0.0017761100564900143,0.0017761100564899213
Equity Equal Weight,2023-02-28,-0.004292925502667183,-0.004292925502667133
Equity Equal Weight,2023-03-01,-0.0010580319937396523,-0.001058031993739661
Equity Equal Weight,2023-03-02,0.01196363459680069,0.01196363459680061
Equity Equal Weight,2023-03-03,0.013041698662887865,0.013041698662887846
Equity Equal Weight,2023-03-06,-0.001808663736776781,-0.0018086637367767944
Equity Equal Weight,2023-03-07,-0.01716608729068231,-0.017166087290682364
Equity Equal Weight,2023-03-08,0.0031917270516937163,0.0031917270516936824
Equity Equal Weight,2023-03-09,-0.01731871782501915,-0.017318717825019148
Equity Equal Weight,2023-03-10,-0.013042274760361034,-0.013042274760361017
Equity Equal Weight,2023-03-13,-0.0035160180638044687,-0.003516018063804416
Equity Equal Weight,2023-03-14,0.014545495217757273,0.014545495217757276
Equity Equal Weight,2023-03-15,-0.00968814247115212,-0.009688142471152128
Equity Equal Weight,2023-03-16,0.01420064899894593,0.014200648998945908
Equity Equal Weight,2023-03-17,-0.012241012240181462,-0.012241012240181481
Equity Equal Weight,2023-03-20,0.011381656021337803,0.011381656021337783
Equity Equal Weight,2023-03-21,0.008352348230895297,0.008352348230895368
Equity Equal Weight,2023-03-22,-0.01994875486296806,-0.0199487548629681
Equity Equal Weight,2023-03-23,0.0017877909140547074,0.0017877909140546766
Equity Equal Weight,2023-03-24,0.007631212702629167,0.007631212702629231
Equity Equal Weight,2023-03-27,0.004297343942389522,0.004297343942389453
Equity Equal Weight,2023-03-28,0.0015994860897350029,0.001599486089735036
Equity Equal Weight,2023-03-29,0.01557046620206545,0.01557046620206548
Equity Equal Weight,2023-03-30,0.004909293457587829,0.004909293457587838
Equity Equal Weight,2023-03-31,0.01245554165487161,0.012455541654871505
Equity Equal Weight,2023-04-03,0.006940014431519134,0.006940014431519037
Equity Equal Weight,2023-04-04,-0.005064090563162217,-0.00506409056316226
Equity Equal Weight,2023-04-05,0.0037000673038339793,0.003700067303833876
Equity Equal Weight,2023-04-06,-0.00016101982917674727,-0.00016101982917671176
Equity Equal Weight,2023-04-10,0.003514247817485643,0.0035142478174856606
Equity Equal Weight,2023-04-11,0.002569206481788522,0.0025692064817885996
Equity Equal Weight,2023-04-12,-0.002221933994919998,-0.002221933994919989
Equity Equal Weight,2023-04-13,0.006972895720065671,0.006972895720065653
Equity Equal Weight,2023-04-14,-0.005796901834398556,-0.005796901834398516
Equity Equal Weight,2023-04-17,0.00501314190495388,0.005013141904953944
Equity Equal Weight,2023-04-18,0.00031857017390728875,0.00031857017390723996
Equity Equal Weight,2023-04-19,0.00215018613987956,0.0021501861398796063
Equity Equal Weight,2023-04-20,-0.006963271769652834,-0.0069632717696528346
Equity Equal Weight,2023-04-21,-0.0010172047667623982,-0.0010172047667623696
Equity Equal Weight,2023-04-24,0.001757089349559311,0.0017570893495593154
Equity Equal Weight,2023-04-25,-0.014954209205319131,-0.014954209205319091
Equity Equal Weight,2023-04-26,-0.012476823412631973,-0.01247682341263201
Equity Equal Weight,2023-04-27,0.01466191302179606,0.01466191302179598
Equity Equal Weight,2023-04-28,0.009482238561268223,0.009482238561268286
Equity Equal Weight,2023-05-01,-0.0034225665792960943,-0.0034225665792960713
Equity Equal Weight,2023-05-02,-0.01668205447422317,-0.016682054474223218
Equity Equal Weight,2023-05-03,-0.01221749617771301,-0.01221749617771306
Equity Equal Weight,2023-05-04,-0.005351289952589209,-0.0053512899525891555
Equity Equal Weight,2023-05-05,0.017515249613176284,0.017515249613176298
Equity Equal Weight,2023-05-08,-0.0006943661313251728,-0.0006943661313251193
Equity Equal Weight,2023-05-09,-0.004258718762879401,-0.004258718762879421
Equity Equal Weight,2023-05-10,-0.0017783329876314969,-0.0017783329876315257
Equity Equal Weight,2023-05-11,-0.008972948417903201,-0.008972948417903193
Equity Equal Weight,2023-05-12,-0.0008388740546909412,-0.0008388740546909634
Equity Equal Weight,2023-05-15,0.004566875681341904,0.004566875681341953
Equity Equal Weight,2023-05-16,-0.01596931677803586,-0.015969316778035814
Equity Equal Weight,2023-05-17,0.012319075380388223,0.012319075380388123
Equity Equal Weight,2023-05-18,0.0058853739811349,0.005885373981134867
Equity Equal Weight,2023-05-19,-0.0024750102388178584,-0.0024750102388179096
Equity Equal Weight,2023-05-22,0.0006733174629292172,0.0006733174629292016
Equity Equal Weight,2023-05-23,-0.007158860298573353,-0.007158860298573377
Equity Equal Weight,2023-05-24,-0.0092430297574062,-0.009243029757406207
Equity Equal Weight,2023-05-25,9.278741905413855e-05,9.278741905416332e-05
