fund,family,model,lambda,basis,ann_return,ann_vol,sharpe,max_drawdown,mean_turnover,total_cost
Equity Minimum Variance + VADER,equity,VADER,0.0,gross,0.05383503493532005,0.1097051628772769,0.4907247163521675,-0.08611002079198349,0.0005227215085452859,6.534018856816075e-05
Equity Minimum Variance + VADER,equity,VADER,0.0,net,0.053765628354978334,0.10970499666921604,0.4900927941969058,-0.08612422160854916,0.0005227215085452859,6.534018856816075e-05
Equity Minimum Variance + VADER,equity,VADER,0.25,gross,0.0654241459336713,0.10927414403390234,0.5987157027134747,-0.08437065272920086,0.00468597327766879,0.0005857466597085988
Equity Minimum Variance + VADER,equity,VADER,0.25,net,0.06479525266304687,0.10927257226203549,0.5929690435736054,-0.08443018152468984,0.00468597327766879,0.0005857466597085988
Equity Minimum Variance + VADER,equity,VADER,0.5,gross,0.07451400916885542,0.1105747732481602,0.6738789235554252,-0.08227936195107932,0.009517210251045183,0.0011896512813806479
Equity Minimum Variance + VADER,equity,VADER,0.5,net,0.07322618476889398,0.1105721735876533,0.6622478548895104,-0.0824086369348398,0.009517210251045183,0.0011896512813806479
Equity Minimum Variance + VADER,equity,VADER,0.75,gross,0.0835701515150955,0.1132776247367577,0.737746326419728,-0.07844591933648082,0.013991421288818529,0.0017489276611023163
Equity Minimum Variance + VADER,equity,VADER,0.75,net,0.08166142969315371,0.11327373147544187,0.7209211582374523,-0.0786566163652922,0.013991421288818529,0.0017489276611023163
Equity Minimum Variance + VADER,equity,VADER,1.0,gross,0.09305425973496462,0.11734974767721403,0.7929651454464363,-0.07273958204697473,0.018320036561559356,0.00229000457019492
Equity Minimum Variance + VADER,equity,VADER,1.0,net,0.09053377489375114,0.11734276241222034,0.7715326708920459,-0.07305584105065488,0.018320036561559356,0.00229000457019492
Equity Minimum Variance + finVADER,equity,finVADER,0.0,gross,0.05383503493532005,0.1097051628772769,0.4907247163521675,-0.08611002079198349,0.0005227215085452859,6.534018856816075e-05
Equity Minimum Variance + finVADER,equity,finVADER,0.0,net,0.053765628354978334,0.10970499666921604,0.4900927941969058,-0.08612422160854916,0.0005227215085452859,6.534018856816075e-05
Equity Minimum Variance + finVADER,equity,finVADER,0.25,gross,0.054662105379988946,0.10918867194238974,0.500620663367257,-0.08543728617403912,0.0035598167521161965,0.0004449770940145245
Equity Minimum Variance + finVADER,equity,finVADER,0.25,net,0.05418914642124095,0.10918874443595825,0.4962887585269758,-0.08567156777132856,0.0035598167521161965,0.0004449770940145245
