sector,n_days,vader_mean,vader_std,vader_pct_positive,finvader_mean,finvader_std,finvader_pct_positive
Tech,1005,0.1024,0.0912,0.8856,0.0645,0.0757,0.8358
Financials,1005,0.0848,0.0934,0.8279,0.0632,0.0799,0.7871
Energy,1005,0.0945,0.1008,0.8378,0.0497,0.0875,0.7403
Consumer,1005,0.0944,0.0758,0.9065,0.0609,0.0604,0.8706
Industrials,1005,0.0799,0.0844,0.8378,0.0556,0.0737,0.799
Healthcare,1005,0.0909,0.0963,0.8199,0.065,0.0707,0.8557
Comm,1005,0.076,0.0889,0.8139,0.0479,0.0698,0.8
Materials,1005,0.0515,0.0703,0.6537,0.032,0.0665,0.6896
Utilities,1005,0.1045,0.0947,0.8239,0.0509,0.0773,0.808
RealEstate,1005,0.0749,0.092,0.7154,0.0525,0.0724,0.8159
