sector,model,eq_n_days,cov_n_days,shared_n_days,corr,eq_mean,cov_mean,eq_std,cov_std,mean_abs_diff,rmse,max_abs_diff,sign_flip_pct
Comm,vader,1005,997,997,0.7883,0.0766,0.1024,0.089,0.1065,0.0509,0.0706,0.4999,0.0772
Comm,finvader,1005,997,997,0.8071,0.0483,0.0608,0.0699,0.0848,0.0359,0.0516,0.4687,0.0692
Consumer,vader,1005,998,998,0.7814,0.095,0.098,0.0756,0.0685,0.0352,0.0482,0.2032,0.0711
Consumer,finvader,1005,998,998,0.7918,0.0613,0.0643,0.0604,0.0566,0.0275,0.038,0.1693,0.0812
Energy,vader,1005,996,996,0.8487,0.0953,0.1069,0.1009,0.1073,0.0425,0.0587,0.4687,0.0663
Energy,finvader,1005,996,996,0.8752,0.0502,0.0547,0.0878,0.093,0.0333,0.0457,0.2475,0.0813
Financials,vader,1005,998,998,0.8725,0.0853,0.0919,0.0935,0.0993,0.0364,0.0494,0.246,0.0721
Financials,finvader,1005,998,998,0.8825,0.0637,0.0679,0.08,0.0851,0.0302,0.0405,0.1626,0.0741
Healthcare,vader,1005,997,997,0.806,0.0916,0.1092,0.0964,0.1087,0.0475,0.0673,0.5278,0.0752
Healthcare,finvader,1005,997,997,0.8015,0.0655,0.0792,0.0707,0.0779,0.0348,0.0492,0.3071,0.0672
Industrials,vader,1005,998,998,0.7693,0.0805,0.0956,0.0845,0.1002,0.0502,0.0662,0.2874,0.0902
Industrials,finvader,1005,998,998,0.7954,0.056,0.0695,0.0738,0.0933,0.0426,0.0581,0.2847,0.0932
Materials,vader,1005,940,940,0.7659,0.0551,0.0981,0.0713,0.1383,0.0635,0.1046,0.6873,0.0319
Materials,finvader,1005,940,940,0.8106,0.0342,0.0609,0.0682,0.1262,0.0522,0.0856,0.5278,0.0394
RealEstate,vader,1005,940,940,0.797,0.0801,0.1347,0.0929,0.1501,0.0698,0.1091,0.6226,0.0181
RealEstate,finvader,1005,940,940,0.793,0.0562,0.0938,0.0734,0.1174,0.0494,0.0831,0.4642,0.0191
Tech,vader,1005,1005,1005,0.8201,0.1024,0.1169,0.0912,0.0934,0.0414,0.0572,0.3349,0.0478
Tech,finvader,1005,1005,1005,0.8225,0.0645,0.0731,0.0757,0.0781,0.0334,0.0466,0.2727,0.0677
Utilities,vader,1005,962,962,0.7325,0.1092,0.1905,0.0941,0.1534,0.0925,0.1336,0.5944,0.0177
Utilities,finvader,1005,962,962,0.8121,0.0532,0.0883,0.0783,0.1258,0.051,0.0848,0.462,0.026
